Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Coffret de puissance1-Gp Batt. acide Pb, 0x04, Durée décharge par heure, 1 Jour, 2019-01-08 00:00:00, 0.00, h
Coffret de puissance1-Gp Batt. acide Pb, 0x04, Durée haute température, 1 Jour, 2019-01-08 00:00:00, 0.00, h
Coffret de puissance1-Gp Batt. acide Pb, 0x04, Durée CE Batterie, 1 Jour, 2019-01-08 00:00:00, 0.00, h
Coffret de puissance1-Gp Batt. acide Pb, 0x04, Durée CM batterie, 1 Jour, 2019-01-08 00:00:00, 0.00, h
Coffret de puissance1-Gp Batt. acide Pb, 0x04, Capac. décharge totale, 1 Jour, 2019-01-08 00:00:00, 0.00, kWh
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2019-01-08 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2019-01-08 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2019-01-08 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2019-01-08 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2019-01-08 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2019-01-08 00:00:00, 0.00, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2019-01-08 00:00:00, 0.27, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2019-01-11 00:00:00, 0.814, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2019-01-11 00:00:00, 2.030, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2019-01-11 00:00:00, 0.000,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2019-01-11 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2019-01-11 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2019-01-11 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2019-01-11 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2019-01-11 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2019-01-11 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2019-01-11 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2019-01-11 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2019-01-11 00:00:00, 0.00, kWh
